id_evento,tema_principal,tema_0,tema_1,tema_2
0289/15,0,0.9978,0.0001,0.0021
0305/15,1,0.0001,0.6207,0.3792
0343/15,0,0.929,0.0556,0.0154
0340/15,1,0.0001,0.9844,0.0155
0360/15,2,0.0001,0.0001,0.9999
0442/15,0,0.9819,0.0121,0.006
0451/15,1,0.0182,0.9817,0.0001
0461/15,0,0.9896,0.0001,0.0103
0481/15,1,0.0001,0.9603,0.0396
0514/15,1,0.0078,0.8361,0.1561
0660/15,2,0.1621,0.1608,0.6771
0767/15,0,0.9922,0.0077,0.0001
0789/15,0,0.982,0.0072,0.0108
0829/15,2,0.0009,0.0008,0.9983
0841/15,0,0.9629,0.0001,0.037
0864/15,2,0.0,0.1215,0.8785
0909/15,2,0.0005,0.0071,0.9924
0938/15,2,0.024,0.0001,0.9759
0971/15,2,0.0001,0.0266,0.9733
1130/15,1,0.0001,0.8614,0.1386
1154/15,0,0.9999,0.0001,0.0001
1235/15,2,0.4529,0.0001,0.5471
1285/15,1,0.2576,0.7416,0.0008
1316/15,0,0.9632,0.0072,0.0296
1457/15,2,0.2152,0.0295,0.7552
1480/15,0,0.9998,0.0001,0.0001
1462/15,0,0.6934,0.092,0.2147
1545/15,2,0.0001,0.0449,0.955
1533/15,0,0.9999,0.0001,0.0001
1626/15,0,0.9999,0.0001,0.0001
1651/15,1,0.0447,0.9448,0.0104
1790/15,1,0.0341,0.9385,0.0273
1798/15,0,0.92,0.005,0.075
1818/15,1,0.0001,0.8479,0.152
1845/15,1,0.0001,0.815,0.1848
1866/15,2,0.0,0.0623,0.9377
1869/15,2,0.0001,0.2744,0.7256
1900/15,1,0.0001,0.6998,0.3002
1937/15,2,0.0,0.1606,0.8394
1931/15,1,0.0002,0.9997,0.0002
1920/15,0,0.925,0.0581,0.0168
1959/15,1,0.0009,0.8418,0.1573
1974/15,0,0.4725,0.4594,0.0682
2009/15,1,0.1748,0.8166,0.0087
2014/15,1,0.0001,0.9872,0.0127
2040/15,1,0.0001,0.721,0.2789
2033/15,0,0.9998,0.0001,0.0001
2090/15,1,0.166,0.7352,0.0988
2129/15,1,0.0344,0.9029,0.0627
2115/15,0,0.6849,0.1125,0.2026
2155/15,1,0.0001,0.6689,0.3311
2192/15,1,0.0684,0.9075,0.0241
2214/15,1,0.0966,0.9033,0.0001
2205/15,2,0.0001,0.1318,0.8682
2237/15,1,0.0347,0.895,0.0703
2278/15,1,0.1113,0.8389,0.0498
2299/15,1,0.1713,0.8281,0.0006
2333/15,1,0.0001,0.8306,0.1693
2355/15,1,0.0352,0.7645,0.2003
2348/15,0,0.9895,0.0104,0.0001
2374/15,1,0.0001,0.9613,0.0386
2407/15,1,0.0755,0.9244,0.0001
2432/15,0,0.9998,0.0001,0.0001
2430/15,1,0.0032,0.9968,0.0001
2455/15,1,0.0001,0.9998,0.0001
2500/15,1,0.0178,0.9803,0.0019
2535/15,1,0.0794,0.7775,0.1431
2566/15,1,0.0005,0.9989,0.0006
2588/15,1,0.0392,0.9437,0.0171
2577/15,0,0.5389,0.146,0.3151
2612/15,1,0.099,0.8363,0.0647
2643/15,1,0.0003,0.9994,0.0003
2665/15,1,0.0135,0.9864,0.0001
2654/15,1,0.0152,0.9699,0.0149
2683/15,1,0.011,0.9889,0.0001
2675/15,0,0.5704,0.4296,0.0001
2708/15,1,0.0072,0.9856,0.0073
2729/15,1,0.0191,0.9589,0.022
2749/15,1,0.0319,0.968,0.0001
2769/15,1,0.0158,0.9684,0.0158
2773/15,1,0.0222,0.9546,0.0232
0360/16,1,0.0142,0.9717,0.0141
0378/16,1,0.0001,0.9992,0.0007
0388/16,1,0.0001,0.9998,0.0001
0425/16,1,0.0826,0.7702,0.1472
0461/16,2,0.0672,0.0024,0.9304
0432/16,1,0.0912,0.9087,0.0001
0468/16,1,0.0133,0.9737,0.013
0467/16,0,0.9999,0.0001,0.0001
0484/16,1,0.0175,0.9653,0.0172
0486/16,0,0.8064,0.0001,0.1935
0492/16,2,0.3471,0.0001,0.6528
0500/16,1,0.0652,0.9285,0.0063
0505/16,0,0.9695,0.0273,0.0033
0524/16,1,0.0001,0.8872,0.1127
0547/16,1,0.0148,0.9705,0.0147
0556/16,1,0.0001,0.8367,0.1632
0591/16,2,0.0066,0.0001,0.9933
0570/16,1,0.0002,0.9733,0.0265
0599/16,1,0.0401,0.9451,0.0147
0598/16,2,0.0001,0.0001,0.9999
0624/16,1,0.0001,0.8963,0.1036
0619/16,0,0.9659,0.0001,0.034
0660/16,0,0.5141,0.0,0.4858
0644/16,1,0.0001,0.9998,0.0001
0674/16,2,0.0001,0.3598,0.6401
0673/16,2,0.0001,0.0058,0.9941
0670/16,1,0.0097,0.981,0.0093
0684/16,1,0.0139,0.9724,0.0137
0697/16,1,0.0001,0.9137,0.0862
0772/16,0,0.7865,0.1798,0.0337
0777/16,1,0.0001,0.9859,0.014
0841T/16,2,0.2734,0.1616,0.565
0839/16,0,0.9998,0.0001,0.0001
0837/16,2,0.1449,0.0001,0.855
0853/16,0,0.7081,0.0083,0.2837
0843/16,1,0.0,0.9748,0.0252
0887/16,2,0.0064,0.0001,0.9935
0858/16,1,0.0,0.9998,0.0002
0899/16,0,0.996,0.0001,0.0039
0896/16,0,0.7276,0.1907,0.0817
0893/16,1,0.0,0.9739,0.026
0908/16,1,0.05,0.9022,0.0478
0912/16,2,0.2749,0.0001,0.725
0921/16,1,0.0147,0.9706,0.0147
0956/16,1,0.1033,0.6901,0.2066
0963/16,1,0.0002,0.9996,0.0002
1000/16,1,0.0085,0.597,0.3944
0985/16,1,0.0001,0.872,0.1279
1020/16,0,0.517,0.0041,0.4789
1015/16,1,0.0016,0.9968,0.0016
1052/16,0,0.9998,0.0001,0.0001
1027/16,1,0.1085,0.8022,0.0893
1060/16,1,0.0003,0.9995,0.0002
1087/16,1,0.0101,0.9898,0.0001
1115/16,2,0.0001,0.0121,0.9878
1112/16,1,0.0553,0.894,0.0507
1118/16,2,0.0807,0.0001,0.9193
